City,Number of Records,division_id,division_name,latitude,longitude,polling_place,polling_place_id,polling_place_name,polling_place_type_id,state,total_formal_votes,tpp_australian_labor_party_percentage,tpp_australian_labor_party_votes,tpp_liberal_national_coalition_percentage,tpp_liberal_national_coalition_votes,tpp_swing
Kalgoorlie,1,243,O'Connor,-30.7430393,121.4745334,Kalgoorlie,7846,Kalgoorlie Central,1,WA,676,42.75,289,57.25,387,-1.53
Esperance,1,243,O'Connor,-33.8602591,121.8893878,Esperance,7822,Esperance,1,WA,1613,27.84,449,72.16,1164,0.04
Kalgoorlie,1,243,O'Connor,-30.7388849,121.4593077,Kalgoorlie,7843,Kalgoorlie North,1,WA,1176,38.86,457,61.14,719,-6.79
Kalgoorlie,1,243,O'Connor,-30.7637,121.479,Kalgoorlie,7842,Kalgoorlie South,1,WA,1076,43.4,467,56.6,609,-2.77
Boulder,1,243,O'Connor,-30.7800132,121.4866233,Boulder,7805,Boulder,1,WA,1250,45.76,572,54.24,678,0.22
Albany,1,243,O'Connor,-35.0237,117.883,Albany,7646,Albany West,1,WA,1301,46.04,599,53.96,702,-2.24
Yanchep,1,244,Pearce,-31.5522,115.636,Yanchep,7971,Yanchep,1,WA,1262,41.28,521,58.72,741,7.02
Yanchep,1,244,Pearce,-31.5440709,115.631774,Yanchep,89901,Yanchep North,1,WA,1063,49.11,522,50.89,541,-0.8
Perth,1,245,Perth,-31.9564376,115.8612921,Perth,8161,Perth Central,1,WA,833,54.14,451,45.86,382,-4.62
Ulladulla,1,120,Gilmore,-35.3562962,150.4743719,Ulladulla,33747,Ulladulla PPVC,5,NSW,9262,50.29,4658,49.71,4604,-4.82
Nowra,1,120,Gilmore,-34.8670937,150.6029031,Nowra,34039,Nowra PPVC,5,NSW,16215,49.66,8052,50.34,8163,-1.7
Sydney,1,121,Grayndler,-33.8701973,151.206944,Sydney,65174,Sydney GRAYNDLER PPVC,5,NSW,1401,65.6,919,34.4,482,3.43
Bowral,1,125,Hume,-34.4798895,150.420363,Bowral,65165,Bowral HUME PPVC,5,NSW,2433,41.43,1008,58.57,1425,-4.38
Goulburn,1,125,Hume,-34.756438,149.711886,Goulburn,33866,Goulburn PPVC,5,NSW,9823,37.88,3721,62.12,6102,1.58
Cooranbong,1,126,Hunter,-33.0745424,151.4576268,Cooranbong,33899,Cooranbong PPVC,5,NSW,5538,38.1,2110,61.9,3428,1.4
Muswellbrook,1,126,Hunter,-32.2848467,150.9049638,Muswellbrook,33977,Muswellbrook HUNTER PPVC,5,NSW,4599,48.9,2249,51.1,2350,13.9
Singleton,1,126,Hunter,-32.5668354,151.1659459,Singleton,33975,Singleton PPVC,5,NSW,7016,46.28,3247,53.72,3769,7.69
Sydney,1,127,Kingsford Smith,-33.8638565,151.2092587,Sydney,65182,Sydney KINGSFORD SMITH PPVC,5,NSW,933,49.73,464,50.27,469,6.97
Taree,1,130,Lyne,-31.9104484,152.4610363,Taree,33679,Taree PPVC,5,NSW,11496,32.05,3685,67.95,7811,4.74
Sydney,1,132,Mackellar,-33.8638565,151.2092587,Sydney,97608,Sydney MACKELLAR PPVC,5,NSW,417,32.13,134,67.87,283,5.85
Muswellbrook,1,135,New England,-32.2623668,150.8894256,Muswellbrook,81302,Muswellbrook NEW ENGLAND PPVC,5,NSW,1611,31.28,504,68.72,1107,5.21
Armidale,1,135,New England,-30.5015616,151.6661993,Armidale,33752,Armidale PPVC,5,NSW,9027,35.7,3223,64.3,5804,-1.02
Tamworth,1,135,New England,-31.092748,150.9320334,Tamworth,33755,Tamworth PPVC,5,NSW,14707,30.12,4430,69.88,10277,1.68
Newcastle,1,136,Newcastle,-32.9272155,151.7795013,Newcastle,33789,Newcastle NEWCASTLE PPVC,5,NSW,12636,59.16,7475,40.84,5161,-1.43
Sydney,1,137,North Sydney,-33.8638565,151.2092587,Sydney,66054,Sydney NORTH SYDNEY PPVC,5,NSW,1834,35.22,646,64.78,1188,2.3
Grafton,1,138,Page,-29.6816894,152.9336547,Grafton,33741,Grafton PPVC,5,NSW,9059,33.22,3009,66.78,6050,13.3
Lismore,1,138,Page,-28.8093154,153.2882876,Lismore,33742,Lismore PPVC,5,NSW,13102,43.95,5758,56.05,7344,2.82
Dubbo,1,139,Parkes,-32.2315018,148.6329645,Dubbo,33951,Dubbo PARKES PPVC,5,NSW,13920,26.51,3690,73.49,10230,-0.27
Sydney,1,140,Parramatta,-33.8638565,151.2092587,Sydney,97611,Sydney PARRAMATTA PPVC,5,NSW,441,50.79,224,49.21,217,5.92
Sydney,1,144,Reid,-33.8638565,151.2092587,Sydney,65246,Sydney REID PPVC,5,NSW,1054,44.31,467,55.69,587,1.35
Ballina,1,145,Richmond,-28.8706917,153.5618694,Ballina,65236,Ballina RICHMOND PPVC,5,NSW,10633,45.11,4797,54.89,5836,0.12
Parkes,1,250,Riverina,-33.1365745,148.1755881,Parkes,33952,Parkes PPVC,5,NSW,2668,27.17,725,72.83,1943,4.17
Newcastle,1,148,Shortland,-32.9272155,151.7795013,Newcastle,65202,Newcastle SHORTLAND PPVC,5,NSW,813,54.49,443,45.51,370,3.62
Sydney,1,149,Sydney,-33.8638565,151.2092587,Sydney,33970,Sydney SYDNEY PPVC,5,NSW,3503,56.87,1992,43.13,1511,2.8
Sydney,1,151,Warringah,-33.8638565,151.2092587,Sydney,65199,Sydney WARRINGAH PPVC,5,NSW,1462,54.92,803,45.08,659,-13.94
Sydney,1,251,Watson,-33.8638565,151.2092587,Sydney,97612,Sydney WATSON PPVC,5,NSW,447,60.18,269,39.82,178,3.35
Sydney,1,152,Wentworth,-33.8638565,151.2092587,Sydney,64586,Sydney WENTWORTH PPVC,5,NSW,1660,33.86,562,66.14,1098,0.03
Bowral,1,150,Whitlam,-34.4798725,150.4203705,Bowral,33862,Bowral WHITLAM PPVC,5,NSW,9601,40.34,3873,59.66,5728,59.66
